g,s,label
http://purl.obolibrary.org/obo/merged/EUPATH,http://purl.obolibrary.org/obo/EUPATH_0021083,blood specimen in vacutainer
http://purl.obolibrary.org/obo/merged/EUPATH,http://purl.obolibrary.org/obo/OBI_0002512,bone marrow specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002512,bone marrow specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002512,bone marrow specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002516,brain specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002516,brain specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002523,breast specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002523,breast specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002538,cerebellum specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002538,cerebellum specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002536,cerebral cortex specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002536,cerebral cortex specimen
http://purl.obolibrary.org/obo/merged/EUPATH,http://purl.obolibrary.org/obo/OBI_0002502,cerebrospinal fluid specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002502,cerebrospinal fluid specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002502,cerebrospinal fluid specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002533,colon specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002533,colon specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002540,coronary artery specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002540,coronary artery specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002531,cortex of kidney specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002531,cortex of kidney specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002504,digestive system fluid or secretion specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002504,digestive system fluid or secretion specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002544,esophagogastric junction specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002532,esophagus mucosa specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002532,esophagus mucosa specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002535,esophagus muscularis mucosa specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002535,esophagus muscularis mucosa specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002503,feces specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002503,feces specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002517,hair specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002517,hair specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002520,heart specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002520,heart specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002545,ileum specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002546,liver specimen
http://purl.obolibrary.org/obo/merged/EUPATH,http://purl.obolibrary.org/obo/OBI_0002534,lung specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002534,lung specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002534,lung specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002505,milk specimen
