PK_LAB_RESULT_ITEM_ID,obo
226271,CHEBI:57589
226290,CHEBI:25806
226292,CHEBI:60579
226294,CHEBI:25806
226296,CHEBI:3387
226301,CHEBI:27732
226314,CHEBI:22693
226324,CHEBI:3219
226338,CHEBI:27563
226341,PR:000003918
226351,CHEBI:68641
226405,CHEBI:16526
226406,CHEBI:26217
226407,CHEBI:36080
226410,CHEBI:16990
226411,CHEBI:22985
226419,CHEBI:16737
226432,CHEBI:132952
226438,CHEBI:26712
226441,CHEBI:17234
226446,CHEBI:16737
226451,CHEBI:17996
226455,CHEBI:17087
226457,CHEBI:27584
226461,CHEBI:28177
226481,CHEBI:26217
226505,CHEBI:15379
226510,CHEBI:15379
226513,CHEBI:17234
226540,CHEBI:22985
226570,CHEBI:25806
226577,CHEBI:35143
226618,CHEBI:16301
226632,CHEBI:15379
226634,CHEBI:26217
226678,CHEBI:27584
226679,CHEBI:22985
226686,CHEBI:26217
226687,CHEBI:26712
226719,CHEBI:87897
226851,CHEBI:26217
226870,CHEBI:15379
227026,CHEBI:8107
227027,CHEBI:17347
227035,CHEBI:27958
227041,CHEBI:28694
227043,CHEBI:68641
227060,CHEBI:3766
227074,CHEBI:47781
227092,CHEBI:33298
227100,CHEBI:25806
227107,CHEBI:22985
227109,CHEBI:17087
227148,CHEBI:25806
227150,CHEBI:17381
227152,CHEBI:16526
227156,CHEBI:141547
227163,CHEBI:28593
227196,CHEBI:47499
227201,CHEBI:16990
227245,CHEBI:35143
227254,CHEBI:2663
227255,CHEBI:2666
227260,CHEBI:8107
227262,CHEBI:4710
227271,CHEBI:17126
227281,CHEBI:16990
227292,CHEBI:22985
227319,CHEBI:22720
227338,CHEBI:27563
227341,PR:000003918
227345,CHEBI:25806
227411,CHEBI:22985
227413,CHEBI:17234
227455,CHEBI:36080
227461,CHEBI:28177
227481,CHEBI:26712
227506,CHEBI:71182
227512,CHEBI:17347
227520,CHEBI:57589
227550,CHEBI:17996
227571,CHEBI:17347
227572,CHEBI:17833
227589,CHEBI:17087
227619,CHEBI:7640
227620,CHEBI:15379
227624,CHEBI:16526
227633,CHEBI:17381
227636,CHEBI:36080
227645,CHEBI:16737
227648,CHEBI:26712
227670,CHEBI:17347
227679,CHEBI:17996
227680,CHEBI:16737
227686,CHEBI:26217
227687,CHEBI:26712
227688,CHEBI:29026
227689,CHEBI:28001
227713,CHEBI:8107
227761,CHEBI:17234
227846,CHEBI:16526
