PK_LAB_RESULT_ITEM_ID,obo,molent,ion,specimen_obo,POC,total,indirect,direct,random,method,notes
4858513,CHEBI:17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163002,CHEBI:17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166762,CHEBI:17234,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
11445004,CHEBI:17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4865310,CHEBI:17234,NA,NA,UBERON:0000178,NA,NA,NA,NA,NA,NA,NA
11841071,CHEBI:17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165375,CHEBI:17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11841134,CHEBI:17234,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
11918664,CHEBI:17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167070,CHEBI:17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1407002,CHEBI:17234,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
160817,CHEBI:17234,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
4859513,CHEBI:17234,NA,NA,UBERON:0001359,NA,NA,NA,NA,NA,NA,NA
163134,CHEBI:17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4862513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
773009,CHEBI:17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9777014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165345,CHEBI:17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4857513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159199,CHEBI:17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11842071,CHEBI:17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9778010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11845041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11845072,CHEBI:17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11428008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11843224,CHEBI:17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16948003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166862,CHEBI:17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9775010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11844068,CHEBI:17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9776012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15236003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11842012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9793003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4861886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10133003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9916003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10132009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11878006,CHEBI:17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10133004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10131006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10132007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9793005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10134007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10133007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9792004,CHEBI:17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10134006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160369,CHEBI:17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10350004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10349003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166185,CHEBI:17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10347004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13351004,CHEBI:17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8763079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10347003,CHEBI:17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10349004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10348004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10350003,CHEBI:17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10348005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4865178,CHEBI:17347,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
159373,CHEBI:17347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4870177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3599001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11841217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11843409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11842410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11914704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11915113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15756004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11919991,CHEBI:17347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11918414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15834005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4862309,CHEBI:17650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159351,CHEBI:17650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165471,CHEBI:17650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11922698,CHEBI:17650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11842046,CHEBI:17650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8737189,CHEBI:17650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4869217,CHEBI:17855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163098,CHEBI:17855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159917,CHEBI:17855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11916667,CHEBI:17855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11842185,CHEBI:17855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
