PK_LAB_RESULT_ITEM_ID,obo
4856323,CHEBI:16737
4858959,CHEBI:16737
4860320,CHEBI:16737
11922697,CHEBI:16737
11925498,CHEBI:16737
171720,CHEBI:16737
11844282,CHEBI:16737
11845198,CHEBI:16737
11845282,CHEBI:16737
4855321,CHEBI:16737
4859324,CHEBI:16737
11922939,CHEBI:16737
11810003,CHEBI:16737
2479001,CHEBI:16737
8738194,CHEBI:16737
11808012,CHEBI:16737
11914088,CHEBI:16737
11914564,CHEBI:16737
11922974,CHEBI:16737
11924285,CHEBI:16737
171142,CHEBI:168396
4861742,CHEBI:168396
11845112,CHEBI:168396
4862149,CHEBI:16990
170471,CHEBI:16990
4861149,CHEBI:16990
4858148,CHEBI:16990
4868238,CHEBI:16990
170479,CHEBI:16990
159164,CHEBI:16990
165387,CHEBI:16990
230233,CHEBI:16990
11842161,CHEBI:16990
11924671,CHEBI:16990
159200,CHEBI:16990
639002,CHEBI:16990
228426,CHEBI:16990
170472,CHEBI:16990
170472,CHEBI:16990
163038,CHEBI:16990
163038,CHEBI:16990
226410,CHEBI:16990
227281,CHEBI:16990
228308,CHEBI:16990
171237,CHEBI:16990
4859148,CHEBI:16990
11918777,CHEBI:16990
159984,CHEBI:16990
171292,CHEBI:16990
227201,CHEBI:16990
230640,CHEBI:16990
235286,CHEBI:16990
228535,CHEBI:16990
11917674,CHEBI:16990
239492,CHEBI:16990
233863,CHEBI:16990
7206004,CHEBI:16990
11842038,CHEBI:16990
4862148,CHEBI:16990
11844115,CHEBI:16990
4856149,CHEBI:16990
4860149,CHEBI:16990
233405,CHEBI:16990
4862764,CHEBI:16990
11509004,CHEBI:16990
4861148,CHEBI:16990
4856148,CHEBI:16990
11918666,CHEBI:16990
1410005,CHEBI:16990
1409005,CHEBI:16990
11914021,CHEBI:16990
233467,CHEBI:16990
11916758,CHEBI:16990
11428007,CHEBI:16990
1413133,CHEBI:16990
11912020,CHEBI:16990
11914453,CHEBI:16990
228224,CHEBI:16990
1408005,CHEBI:16990
9688010,CHEBI:16990
170842,CHEBI:16990
11915425,CHEBI:16990
9657004,CHEBI:16990
6107004,CHEBI:16990
11878005,CHEBI:16990
170901,CHEBI:16990
170901,CHEBI:16990
11921041,CHEBI:16990
11912426,CHEBI:16990
4973001,CHEBI:16990
5053003,CHEBI:16990
1412005,CHEBI:16990
11509006,CHEBI:16990
11843196,CHEBI:16990
11917816,CHEBI:16990
11922694,CHEBI:16990
235559,CHEBI:16990
11925046,CHEBI:16990
160218,CHEBI:16990
160264,CHEBI:16990
1414006,CHEBI:16990
4866240,CHEBI:17087
163059,CHEBI:17087
639001,CHEBI:17087
226455,CHEBI:17087
11845208,CHEBI:17087
165333,CHEBI:17087
11916778,CHEBI:17087
227589,CHEBI:17087
227109,CHEBI:17087
11915269,CHEBI:17087
159193,CHEBI:17087
234402,CHEBI:17087
159466,CHEBI:17087
11843110,CHEBI:17087
163416,CHEBI:17230
4862582,CHEBI:17230
4859910,CHEBI:17234
4858513,CHEBI:17234
163002,CHEBI:17234
166762,CHEBI:17234
230911,CHEBI:17234
234202,CHEBI:17234
4864240,CHEBI:17234
231542,CHEBI:17234
11445004,CHEBI:17234
4865310,CHEBI:17234
159171,CHEBI:17234
11841071,CHEBI:17234
165375,CHEBI:17234
11841134,CHEBI:17234
233167,CHEBI:17234
11918664,CHEBI:17234
167070,CHEBI:17234
638002,CHEBI:17234
239505,CHEBI:17234
230378,CHEBI:17234
8841005,CHEBI:17234
228454,CHEBI:17234
1407002,CHEBI:17234
11843200,CHEBI:17234
160817,CHEBI:17234
159929,CHEBI:17234
11809010,CHEBI:17234
11842055,CHEBI:17234
4859513,CHEBI:17234
228573,CHEBI:17234
4861513,CHEBI:17234
4856513,CHEBI:17234
11842084,CHEBI:17234
163134,CHEBI:17234
170507,CHEBI:17234
171251,CHEBI:17234
4862513,CHEBI:17234
4861514,CHEBI:17234
773009,CHEBI:17234
234247,CHEBI:17234
159644,CHEBI:17234
164475,CHEBI:17234
170952,CHEBI:17234
165345,CHEBI:17234
171096,CHEBI:17234
4862512,CHEBI:17234
4855512,CHEBI:17234
19797005,CHEBI:17234
4860512,CHEBI:17234
1411006,CHEBI:17234
160378,CHEBI:17234
171686,CHEBI:17234
166606,CHEBI:17234
160379,CHEBI:17234
4857513,CHEBI:17234
230483,CHEBI:17234
11806003,CHEBI:17234
11920031,CHEBI:17234
11921028,CHEBI:17234
11923035,CHEBI:17234
11919028,CHEBI:17234
164478,CHEBI:17234
159199,CHEBI:17234
164142,CHEBI:17234
171928,CHEBI:17234
11918678,CHEBI:17234
4861512,CHEBI:17234
14632004,CHEBI:17234
9655026,CHEBI:17234
21078005,CHEBI:17234
159980,CHEBI:17234
11843062,CHEBI:17234
4869263,CHEBI:17234
4868234,CHEBI:17234
11842071,CHEBI:17234
11845041,CHEBI:17234
233876,CHEBI:17234
11844071,CHEBI:17234
11843072,CHEBI:17234
11845072,CHEBI:17234
230653,CHEBI:17234
11917669,CHEBI:17234
4860514,CHEBI:17234
4870227,CHEBI:17234
11806004,CHEBI:17234
165246,CHEBI:17234
171208,CHEBI:17234
11842072,CHEBI:17234
11428008,CHEBI:17234
4316002,CHEBI:17234
11843224,CHEBI:17234
11918758,CHEBI:17234
4530047,CHEBI:17234
4532050,CHEBI:17234
11916759,CHEBI:17234
4863240,CHEBI:17234
11922765,CHEBI:17234
9793004,CHEBI:17234
11917760,CHEBI:17234
166862,CHEBI:17234
16948003,CHEBI:17234
11924760,CHEBI:17234
11918755,CHEBI:17234
11915143,CHEBI:17234
11844068,CHEBI:17234
9778011,CHEBI:17234
160192,CHEBI:17234
163143,CHEBI:17234
4530033,CHEBI:17234
15236003,CHEBI:17234
11842012,CHEBI:17234
4527038,CHEBI:17234
4856514,CHEBI:17234
11917763,CHEBI:17234
226208,CHEBI:17234
9794003,CHEBI:17234
11921589,CHEBI:17234
5080003,CHEBI:17234
9791003,CHEBI:17234
9792003,CHEBI:17234
9793003,CHEBI:17234
4861886,CHEBI:17234
229543,CHEBI:17234
239970,CHEBI:17234
235970,CHEBI:17234
171856,CHEBI:17234
226441,CHEBI:17234
11917686,CHEBI:17234
170953,CHEBI:17234
3024001,CHEBI:17234
227761,CHEBI:17234
9917003,CHEBI:17234
159645,CHEBI:17234
234715,CHEBI:17234
6932008,CHEBI:17234
226207,CHEBI:17234
11914060,CHEBI:17234
11925582,CHEBI:17234
11915441,CHEBI:17234
11240004,CHEBI:17234
11912442,CHEBI:17234
11913440,CHEBI:17234
11914443,CHEBI:17234
237934,CHEBI:17234
1412019,CHEBI:17234
10133003,CHEBI:17234
9916003,CHEBI:17234
167308,CHEBI:17234
10132009,CHEBI:17234
11878006,CHEBI:17234
235971,CHEBI:17234
237970,CHEBI:17234
226234,CHEBI:17234
9791004,CHEBI:17234
11924764,CHEBI:17234
11919026,CHEBI:17234
239093,CHEBI:17234
8763080,CHEBI:17234
10133004,CHEBI:17234
8609006,CHEBI:17234
8610005,CHEBI:17234
8610006,CHEBI:17234
227413,CHEBI:17234
228440,CHEBI:17234
4856512,CHEBI:17234
10131006,CHEBI:17234
227902,CHEBI:17234
228900,CHEBI:17234
10132007,CHEBI:17234
11918894,CHEBI:17234
4859512,CHEBI:17234
8634004,CHEBI:17234
9793005,CHEBI:17234
10134007,CHEBI:17234
9792005,CHEBI:17234
6110006,CHEBI:17234
9792004,CHEBI:17234
10133007,CHEBI:17234
226513,CHEBI:17234
10134006,CHEBI:17234
160369,CHEBI:17234
10350004,CHEBI:17234
10349003,CHEBI:17234
11923036,CHEBI:17234
11916784,CHEBI:17234
13932005,CHEBI:17234
166185,CHEBI:17234
11809012,CHEBI:17234
11913533,CHEBI:17234
239145,CHEBI:17234
11918065,CHEBI:17234
10347004,CHEBI:17234
11841201,CHEBI:17234
11917789,CHEBI:17234
8712004,CHEBI:17234
11808010,CHEBI:17234
13902003,CHEBI:17234
4865178,CHEBI:17347
159373,CHEBI:17347
11919991,CHEBI:17347
4860861,CHEBI:17381
4857860,CHEBI:17381
4861324,CHEBI:17381
4857320,CHEBI:17381
4860912,CHEBI:17381
4857911,CHEBI:17381
4858911,CHEBI:17381
159361,CHEBI:17381
163626,CHEBI:17381
11845385,CHEBI:17381
233235,CHEBI:17381
11916685,CHEBI:17381
2687002,CHEBI:17381
11842385,CHEBI:17381
11844384,CHEBI:17381
11845384,CHEBI:17381
228685,CHEBI:17381
170715,CHEBI:17381
227633,CHEBI:17381
1413068,CHEBI:17381
4870259,CHEBI:17381
11917691,CHEBI:17381
11918686,CHEBI:17381
227150,CHEBI:17381
228150,CHEBI:17381
4862309,CHEBI:17650
159351,CHEBI:17650
165471,CHEBI:17650
11922698,CHEBI:17650
11842046,CHEBI:17650
8737189,CHEBI:17650
4869217,CHEBI:17855
163098,CHEBI:17855
159917,CHEBI:17855
11916667,CHEBI:17855
11842185,CHEBI:17855
159497,CHEBI:17855
11914026,CHEBI:17855
11926271,CHEBI:17855
1410003,CHEBI:17855
160675,CHEBI:17855
1188004,CHEBI:17855
166203,CHEBI:17855
4857006,CHEBI:17933
159414,CHEBI:17933
171801,CHEBI:17933
11911400,CHEBI:17933
176035,CHEBI:17933
4264015,CHEBI:17933
11845429,CHEBI:17933
4856264,CHEBI:17996
170474,CHEBI:17996
226037,CHEBI:17996
8828005,CHEBI:17996
11842043,CHEBI:17996
171253,CHEBI:17996
11918669,CHEBI:17996
237496,CHEBI:17996
8840005,CHEBI:17996
19800007,CHEBI:17996
13255004,CHEBI:17996
21086014,CHEBI:17996
4870246,CHEBI:17996
11844197,CHEBI:17996
11807003,CHEBI:17996
4866144,CHEBI:17996
11842422,CHEBI:17996
229479,CHEBI:17996
735001,CHEBI:17996
13314017,CHEBI:17996
774006,CHEBI:17996
15631003,CHEBI:17996
159213,CHEBI:17996
3238001,CHEBI:17996
4869233,CHEBI:17996
226451,CHEBI:17996
11843302,CHEBI:17996
11845268,CHEBI:17996
11844268,CHEBI:17996
1408006,CHEBI:17996
11922792,CHEBI:17996
10051008,CHEBI:17996
10054009,CHEBI:17996
228679,CHEBI:17996
227679,CHEBI:17996
237289,CHEBI:17996
11913529,CHEBI:17996
1184001,CHEBI:17996
228891,CHEBI:17996
227550,CHEBI:17996
11922790,CHEBI:17996
11920110,CHEBI:17996
11923114,CHEBI:17996
9335005,CHEBI:17996
166191,CHEBI:17996
159183,CHEBI:18367
159183,CHEBI:18367
11844131,CHEBI:18367
11844131,CHEBI:18367
171228,CHEBI:18367
171228,CHEBI:18367
4865295,CHEBI:21241
4868194,CHEBI:22470
4862201,CHEBI:22985
163092,CHEBI:22985
4859201,CHEBI:22985
11841035,CHEBI:22985
159946,CHEBI:22985
230272,CHEBI:22985
11916663,CHEBI:22985
228106,CHEBI:22985
8842005,CHEBI:22985
233865,CHEBI:22985
1357002,CHEBI:22985
164511,CHEBI:22985
4858963,CHEBI:22985
232492,CHEBI:22985
5213002,CHEBI:22985
11843085,CHEBI:22985
19798005,CHEBI:22985
4859200,CHEBI:22985
4856200,CHEBI:22985
17297003,CHEBI:22985
4863246,CHEBI:22985
1410002,CHEBI:22985
4868233,CHEBI:22985
227292,CHEBI:22985
163359,CHEBI:22985
159272,CHEBI:22985
11912023,CHEBI:22985
159448,CHEBI:22985
170756,CHEBI:22985
171233,CHEBI:22985
11842036,CHEBI:22985
166890,CHEBI:22985
11923110,CHEBI:22985
11916702,CHEBI:22985
11916785,CHEBI:22985
20398009,CHEBI:22985
11916783,CHEBI:22985
13641007,CHEBI:22985
11845224,CHEBI:22985
227411,CHEBI:22985
13312016,CHEBI:22985
774008,CHEBI:22985
19808004,CHEBI:22985
159925,CHEBI:22985
235288,CHEBI:22985
1414138,CHEBI:22985
226411,CHEBI:22985
11911150,CHEBI:22985
226107,CHEBI:22985
226540,CHEBI:22985
226679,CHEBI:22985
11842283,CHEBI:22985
227107,CHEBI:22985
11844281,CHEBI:22985
171227,CHEBI:22985
773006,CHEBI:22985
8021062,CHEBI:22985
11844149,CHEBI:22985
10051006,CHEBI:22985
10054007,CHEBI:22985
9737006,CHEBI:22985
171766,CHEBI:22985
11920519,CHEBI:22985
11923116,CHEBI:22985
171524,CHEBI:22985
8024062,CHEBI:22985
11914023,CHEBI:22985
11920106,CHEBI:22985
2805001,CHEBI:22985
4862306,CHEBI:23377
4855470,CHEBI:24103
1412018,CHEBI:24103
11842306,CHEBI:24103
4859645,CHEBI:24873
163110,CHEBI:24873
171374,CHEBI:24873
11844082,CHEBI:24873
8790037,CHEBI:24873
163122,CHEBI:24996
163122,CHEBI:24996
4855661,CHEBI:24996
4855661,CHEBI:24996
11845087,CHEBI:24996
11845087,CHEBI:24996
8525004,CHEBI:24996
5367004,CHEBI:24996
5367004,CHEBI:24996
231919,CHEBI:24996
11841085,CHEBI:24996
11841085,CHEBI:24996
239153,CHEBI:24996
8787055,CHEBI:24996
4862705,CHEBI:25108
163095,CHEBI:25108
11844097,CHEBI:25108
8788071,CHEBI:25108
4858908,CHEBI:25806
4860802,CHEBI:25806
4860801,CHEBI:25806
8828003,CHEBI:25806
4861909,CHEBI:25806
8827006,CHEBI:25806
227100,CHEBI:25806
4861457,CHEBI:25806
227148,CHEBI:25806
8837003,CHEBI:25806
160614,CHEBI:25806
228350,CHEBI:25806
159801,CHEBI:25806
6760006,CHEBI:25806
6935003,CHEBI:25806
4862801,CHEBI:25806
6762003,CHEBI:25806
167098,CHEBI:25806
165174,CHEBI:25806
8842006,CHEBI:25806
228148,CHEBI:25806
6756003,CHEBI:25806
226290,CHEBI:25806
160508,CHEBI:25806
228289,CHEBI:25806
4857908,CHEBI:25806
228631,CHEBI:25806
228100,CHEBI:25806
4855909,CHEBI:25806
4860909,CHEBI:25806
9738004,CHEBI:25806
227345,CHEBI:25806
9735006,CHEBI:25806
12128003,CHEBI:25806
19801004,CHEBI:25806
226570,CHEBI:25806
7461003,CHEBI:25806
226294,CHEBI:25806
6803003,CHEBI:25806
11842086,CHEBI:25806
6931005,CHEBI:25806
6937005,CHEBI:25806
228190,CHEBI:25806
171107,CHEBI:25806
160787,CHEBI:25806
167440,CHEBI:25806
7459003,CHEBI:25806
11738008,CHEBI:25806
4858801,CHEBI:25806
6804005,CHEBI:25806
4862893,CHEBI:26082
4862893,CHEBI:26082
4855917,CHEBI:26217
159166,CHEBI:26217
231971,CHEBI:26217
8830006,CHEBI:26217
11845086,CHEBI:26217
159945,CHEBI:26217
11922676,CHEBI:26217
171919,CHEBI:26217
233182,CHEBI:26217
8839004,CHEBI:26217
4857039,CHEBI:26217
4863260,CHEBI:26217
226634,CHEBI:26217
6937004,CHEBI:26217
11842085,CHEBI:26217
226406,CHEBI:26217
19801007,CHEBI:26217
13254004,CHEBI:26217
163932,CHEBI:26217
4868250,CHEBI:26217
17300003,CHEBI:26217
11842208,CHEBI:26217
11810004,CHEBI:26217
4868235,CHEBI:26217
159463,CHEBI:26217
4855900,CHEBI:26217
4869144,CHEBI:26217
11842423,CHEBI:26217
233667,CHEBI:26217
159182,CHEBI:26217
4860917,CHEBI:26217
